scenario, sigma, T, run, loss, error
Cube,0.05,1000,29,0.325438630897,0.0
Cube,0.3,50,0,0.425662688556,0.1275
Cube,0.3,50,1,0.432945080774,0.115
Cube,0.3,50,2,0.42640525646,0.075
Cube,0.3,50,3,0.408952307369,0.0875
Cube,0.3,50,4,0.42586614671,0.115
Cube,0.3,50,5,0.432509291248,0.155
Cube,0.3,50,6,0.455326974479,0.1775
Cube,0.3,50,7,0.424053330609,0.0725
Cube,0.3,50,8,0.422889323966,0.1175
Cube,0.3,50,9,0.447029682269,0.1325
Cube,0.3,50,10,0.413833455218,0.08
Cube,0.3,50,11,0.415991866783,0.0825
Cube,0.3,50,12,0.395107256854,0.0925
Cube,0.3,50,13,0.402121055845,0.0925
Cube,0.3,50,14,0.421220608109,0.1375
Cube,0.3,50,15,0.416526926611,0.1225
Cube,0.3,50,16,0.405817212004,0.0825
Cube,0.3,50,17,0.458491283366,0.15
Cube,0.3,50,18,0.428428001408,0.085
Cube,0.3,50,19,0.406052494795,0.13
Cube,0.3,50,20,0.396577203687,0.0775
Cube,0.3,50,21,0.427655609856,0.075
Cube,0.3,50,22,0.417410921283,0.0775
Cube,0.3,50,23,0.420084959798,0.0875
Cube,0.3,50,24,0.40983907063,0.0825
Cube,0.3,50,25,0.398746340058,0.075
Cube,0.3,50,26,0.411693310761,0.095
Cube,0.3,50,27,0.410022301568,0.1175
Cube,0.3,50,28,0.407033193056,0.0975
Cube,0.3,50,29,0.431704257227,0.095
Cube,0.3,100,0,0.385546608875,0.075
Cube,0.3,100,1,0.408085729648,0.12
Cube,0.3,100,2,0.38877338936,0.0725
Cube,0.3,100,3,0.388859582276,0.0825
Cube,0.3,100,4,0.383146627642,0.07
Cube,0.3,100,5,0.417852674409,0.14
Cube,0.3,100,6,0.397734123832,0.0725
Cube,0.3,100,7,0.392115650808,0.08
Cube,0.3,100,8,0.402908567043,0.075
Cube,0.3,100,9,0.388581264573,0.0775
Cube,0.3,100,10,0.387514482501,0.08
Cube,0.3,100,11,0.397121863304,0.08
Cube,0.3,100,12,0.393993727278,0.0725
Cube,0.3,100,13,0.410665787338,0.125
Cube,0.3,100,14,0.396572466831,0.0925
Cube,0.3,100,15,0.400299822126,0.09
Cube,0.3,100,16,0.381406425602,0.0775
Cube,0.3,100,17,0.406090467922,0.1225
Cube,0.3,100,18,0.394323098845,0.0725
Cube,0.3,100,19,0.391635622557,0.075
